date;Hours;DK1;DK2
01/01/2018;00 - 01;1729;649
01/01/2018;01 - 02;1763;613
01/01/2018;02 - 03;1508;663
01/01/2018;03 - 04;1514;723
01/01/2018;04 - 05;1523;713
01/01/2018;05 - 06;1493;703
01/01/2018;06 - 07;1578;727
01/01/2018;07 - 08;1529;753
01/01/2018;08 - 09;1651;758
01/01/2018;09 - 10;1839;758
01/01/2018;10 - 11;2208;771
01/01/2018;11 - 12;2248;774
01/01/2018;12 - 13;2344;773
01/01/2018;13 - 14;2590;780
01/01/2018;14 - 15;2514;777
01/01/2018;15 - 16;2340;755
01/01/2018;16 - 17;2053;741
01/01/2018;17 - 18;1855;694
01/01/2018;18 - 19;1751;651
01/01/2018;19 - 20;1739;632
01/01/2018;20 - 21;1721;603
01/01/2018;21 - 22;1745;592
01/01/2018;22 - 23;1601;530
01/01/2018;23 - 00;1549;460
02/01/2018;00 - 01;1468;434
02/01/2018;01 - 02;1406;391
02/01/2018;02 - 03;1343;308
02/01/2018;03 - 04;1227;235
02/01/2018;04 - 05;1206;192
02/01/2018;05 - 06;1106;173
02/01/2018;06 - 07;1096;185
02/01/2018;07 - 08;1160;204
02/01/2018;08 - 09;1120;202
02/01/2018;09 - 10;1043;213
02/01/2018;10 - 11;977;214
02/01/2018;11 - 12;842;242
02/01/2018;12 - 13;757;254
02/01/2018;13 - 14;804;289
02/01/2018;14 - 15;787;293
02/01/2018;15 - 16;771;289
02/01/2018;16 - 17;854;233
02/01/2018;17 - 18;939;272
02/01/2018;18 - 19;1000;311
02/01/2018;19 - 20;1153;301
02/01/2018;20 - 21;1236;313
02/01/2018;21 - 22;1326;331
02/01/2018;22 - 23;1529;416
02/01/2018;23 - 00;1795;444
03/01/2018;00 - 01;1970;439
03/01/2018;01 - 02;2267;532
03/01/2018;02 - 03;2543;574
03/01/2018;03 - 04;2411;601
03/01/2018;04 - 05;2601;667
03/01/2018;05 - 06;2718;828
03/01/2018;06 - 07;3077;832
03/01/2018;07 - 08;2942;828
03/01/2018;08 - 09;2765;831
03/01/2018;09 - 10;2446;772
03/01/2018;10 - 11;1972;689
03/01/2018;11 - 12;1691;625
03/01/2018;12 - 13;1352;540
03/01/2018;13 - 14;980;441
03/01/2018;14 - 15;750;373
03/01/2018;15 - 16;465;319
03/01/2018;16 - 17;289;384
03/01/2018;17 - 18;262;326
03/01/2018;18 - 19;280;138
03/01/2018;19 - 20;306;128
03/01/2018;20 - 21;398;232
03/01/2018;21 - 22;559;179
03/01/2018;22 - 23;720;181
03/01/2018;23 - 00;856;119
04/01/2018;00 - 01;859;132
04/01/2018;01 - 02;903;175
04/01/2018;02 - 03;975;382
04/01/2018;03 - 04;1024;545
04/01/2018;04 - 05;1093;578
04/01/2018;05 - 06;1081;535
04/01/2018;06 - 07;999;520
04/01/2018;07 - 08;849;511
04/01/2018;08 - 09;769;518
04/01/2018;09 - 10;707;529
04/01/2018;10 - 11;647;468
04/01/2018;11 - 12;619;401
04/01/2018;12 - 13;602;317
04/01/2018;13 - 14;532;297
04/01/2018;14 - 15;411;241
04/01/2018;15 - 16;279;214
04/01/2018;16 - 17;178;182
04/01/2018;17 - 18;108;123
04/01/2018;18 - 19;96;124
04/01/2018;19 - 20;99;116
04/01/2018;20 - 21;113;110
04/01/2018;21 - 22;103;127
04/01/2018;22 - 23;98;150
04/01/2018;23 - 00;107;173
05/01/2018;00 - 01;143;135
05/01/2018;01 - 02;177;97
05/01/2018;02 - 03;232;154
05/01/2018;03 - 04;223;419
05/01/2018;04 - 05;195;475
05/01/2018;05 - 06;178;482
05/01/2018;06 - 07;122;469
05/01/2018;07 - 08;97;470
05/01/2018;08 - 09;89;461
05/01/2018;09 - 10;75;428
05/01/2018;10 - 11;56;376
05/01/2018;11 - 12;52;213
05/01/2018;12 - 13;53;198
05/01/2018;13 - 14;57;279
05/01/2018;14 - 15;71;219
05/01/2018;15 - 16;81;171
05/01/2018;16 - 17;57;159
05/01/2018;17 - 18;73;168
05/01/2018;18 - 19;96;134
05/01/2018;19 - 20;126;112
05/01/2018;20 - 21;95;80
05/01/2018;21 - 22;94;67
05/01/2018;22 - 23;113;71
05/01/2018;23 - 00;69;69
06/01/2018;00 - 01;38;67
06/01/2018;01 - 02;49;67
06/01/2018;02 - 03;62;79
06/01/2018;03 - 04;58;80
06/01/2018;04 - 05;74;65
06/01/2018;05 - 06;80;64
06/01/2018;06 - 07;94;75
06/01/2018;07 - 08;123;104
06/01/2018;08 - 09;134;137
06/01/2018;09 - 10;161;201
06/01/2018;10 - 11;270;211
06/01/2018;11 - 12;480;139
06/01/2018;12 - 13;518;122
06/01/2018;13 - 14;550;162
06/01/2018;14 - 15;637;183
06/01/2018;15 - 16;667;163
06/01/2018;16 - 17;737;172
06/01/2018;17 - 18;849;201
06/01/2018;18 - 19;919;257
06/01/2018;19 - 20;828;324
06/01/2018;20 - 21;716;365
06/01/2018;21 - 22;616;319
06/01/2018;22 - 23;532;330
06/01/2018;23 - 00;441;310
07/01/2018;00 - 01;330;267
07/01/2018;01 - 02;231;223
