date,zone,EURperMWH
2020-01-01,NO1,30.93625
2020-01-01,NO2,30.93625
2020-01-01,NO3,27.736666666666665
2020-01-01,NO4,27.736666666666665
2020-01-01,NO5,30.93625
2020-01-02,NO1,16.1575
2020-01-02,NO2,16.1575
2020-01-02,NO3,15.720833333333333
2020-01-02,NO4,14.816249999999998
2020-01-02,NO5,16.1575
2020-01-03,NO1,9.74625
2020-01-03,NO2,9.252083333333333
2020-01-03,NO3,10.860416666666666
2020-01-03,NO4,10.860416666666666
2020-01-03,NO5,9.74625
2020-01-04,NO1,4.95375
2020-01-04,NO2,4.95375
2020-01-04,NO3,5.11625
2020-01-04,NO4,5.11625
2020-01-04,NO5,4.95375
2020-01-05,NO1,5.114583333333333
2020-01-05,NO2,5.114583333333333
2020-01-05,NO3,5.612916666666667
2020-01-05,NO4,6.366666666666667
2020-01-05,NO5,5.114583333333333
2020-01-06,NO1,1.9029166666666668
2020-01-06,NO2,1.9029166666666668
2020-01-06,NO3,4.6258333333333335
2020-01-06,NO4,4.635833333333333
2020-01-06,NO5,1.9029166666666668
2020-01-07,NO1,1.1375
2020-01-07,NO2,1.1375
2020-01-07,NO3,1.83625
2020-01-07,NO4,1.8458333333333332
2020-01-07,NO5,1.1375
2020-01-08,NO1,1.02125
2020-01-08,NO2,1.02125
2020-01-08,NO3,2.0625
2020-01-08,NO4,2.0625
2020-01-08,NO5,1.02125
2020-01-09,NO1,17.71875
2020-01-09,NO2,17.71875
2020-01-09,NO3,18.5925
2020-01-09,NO4,15.188333333333333
2020-01-09,NO5,17.71875
2020-01-10,NO1,2.3958333333333335
2020-01-10,NO2,2.3958333333333335
2020-01-10,NO3,3.311666666666667
2020-01-10,NO4,3.0208333333333335
2020-01-10,NO5,2.3958333333333335
2020-01-11,NO1,5.550416666666667
2020-01-11,NO2,5.550416666666667
2020-01-11,NO3,5.661666666666666
2020-01-11,NO4,5.685833333333334
2020-01-11,NO5,5.550416666666667
2020-01-12,NO1,14.911666666666667
2020-01-12,NO2,14.911666666666667
2020-01-12,NO3,11.19625
2020-01-12,NO4,11.027916666666668
2020-01-12,NO5,14.911666666666667
2020-01-13,NO1,26.988333333333333
2020-01-13,NO2,26.988333333333333
2020-01-13,NO3,25.202083333333334
2020-01-13,NO4,25.202083333333334
2020-01-13,NO5,26.988333333333333
2020-01-14,NO1,24.502499999999998
2020-01-14,NO2,24.502499999999998
2020-01-14,NO3,23.597083333333334
2020-01-14,NO4,23.597083333333334
2020-01-14,NO5,24.502499999999998
2020-01-15,NO1,24.629583333333333
2020-01-15,NO2,24.629583333333333
2020-01-15,NO3,23.52125
2020-01-15,NO4,23.52125
2020-01-15,NO5,24.629583333333333
2020-01-16,NO1,24.49875
2020-01-16,NO2,24.49875
2020-01-16,NO3,24.24875
2020-01-16,NO4,24.24875
2020-01-16,NO5,24.49875
2020-01-17,NO1,24.449583333333333
2020-01-17,NO2,24.449583333333333
2020-01-17,NO3,24.438333333333333
2020-01-17,NO4,24.438333333333333
2020-01-17,NO5,24.449583333333333
2020-01-18,NO1,23.260833333333334
2020-01-18,NO2,23.260833333333334
2020-01-18,NO3,23.235416666666666
2020-01-18,NO4,23.235416666666666
2020-01-18,NO5,23.260833333333334
