Elspot Prices in NOK/MWh;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 18-01-2022;;;;;;;;;;;;;;;;;;;;;;
;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT;AT;BE;DE-LU;FR;NL
01/01/2022;761,64;465,3;465,3;820,96;820,96;819,43;823,28;820,96;1270,33;1270,33;1270,33;417,9;417,9;417,9;824,22;824,22;824,22;;;;;
02/01/2022;575,04;438,37;438,37;532,84;532,84;573,45;556,63;532,84;1143,42;1143,42;1143,42;341,29;341,29;341,29;577,4;577,4;577,4;;;;;
03/01/2022;810,63;394,12;394,12;735,01;735,01;803,52;781,65;717,78;1292,36;1292,36;1292,36;354,88;354,88;354,88;918,17;918,17;918,17;;;;;
04/01/2022;1160,86;450,18;450,18;1242,82;1330,81;1242,82;1410,87;1330,85;1474,21;1474,21;1474,21;441,36;441,36;441,36;1456,58;1456,58;1464,32;;;;;
05/01/2022;1192,44;516,03;516,03;1087,24;1087,24;1218,17;1088,24;1087,24;1335,62;1335,62;1335,62;516,03;516,03;511,75;1227,95;1227,95;1227,95;;;;;
06/01/2022;1443,1;527,25;527,25;1700,81;1708,83;1695,73;1879,06;1801,34;1858,67;1858,67;1559,23;527,25;527,25;509,92;1711,23;1711,23;1724,33;;;;;
07/01/2022;1424,08;528,11;528,11;1584,98;1584,98;1671,57;1584,93;1584,98;1593,72;1593,72;1512,9;502,54;502,54;502,54;1671,57;1671,57;1671,57;;;;;
08/01/2022;1368,88;499,83;499,83;1462,45;1462,45;1603,8;1461,46;1462,45;1457,76;1457,76;1457,76;454,79;454,79;453,14;1603,8;1603,8;1603,8;;;;;
09/01/2022;1236,52;541,22;541,22;1317,32;1317,32;1460,42;1317,32;1317,32;1427,34;1427,34;1427,34;426,96;426,96;426,96;1460,42;1460,42;1460,42;;;;;
10/01/2022;1704,07;507,31;507,31;2470,95;2470,95;2490,82;2448,64;2470,95;1939,69;1939,69;1638,82;479,25;479,25;479,25;2490,82;2490,82;2490,82;;;;;
11/01/2022;1336,99;354,3;354,3;1629,46;2244,5;1628,51;1560,62;2244,5;1515,36;1515,36;1513,8;304,29;304,29;277,88;1948,04;2113,37;2450,11;;;;;
12/01/2022;966,6;214,62;214,62;863,88;1512,1;800,12;1296,22;1512,1;1385,6;1385,6;1385,6;201,54;201,54;201,54;1819,4;1920,54;2097,48;;;;;
13/01/2022;336,7;175,86;175,86;184,02;184,02;186,25;184,02;184,02;1264,04;1264,04;1264,04;175,86;175,86;175,86;1524,81;1525,3;1525,3;;;;;
14/01/2022;595,58;181,12;181,12;548,5;548,5;600,97;874,08;751,62;1289,19;1289,19;1289,19;181,12;181,12;181,12;991,08;991,08;991,08;;;;;
15/01/2022;1127,86;192,95;192,95;1246,35;1261,31;933,2;1693,93;1693,93;1551,41;1551,41;1466,67;192,95;192,95;192,95;1444,91;1444,91;1444,91;;;;;
16/01/2022;287,51;174,39;174,39;183,6;183,6;183,6;952,53;409,3;1277,2;1277,2;1277,2;174,39;174,39;174,39;1047,22;1047,22;1047,22;;;;;
17/01/2022;715,5;172,01;172,01;809,69;809,69;801,31;832,59;809,69;1323,24;1323,24;1323,24;172,01;172,01;172,01;1046,73;1046,73;1046,73;;;;;
18/01/2022;1170,26;178,15;178,15;1445,94;1480,88;1445,87;1618,64;1518,04;1609,47;1609,47;1490,2;178,03;178,03;178,03;1686,44;1739,53;1739,53;;;;;
19/01/2022;457,95;151,99;151,99;338,12;338,12;624,68;523,54;338,12;1353,45;1353,45;1353,45;151,99;151,99;151,99;1509,19;1509,19;1509,19;;;;;
