,region,year,contents,population,kommunenummer,med_income_at,med_income_bt
19,K-3001 Halden,2005,Persons,27582,3001,,
20,K-3001 Halden,2006,Persons,27722,3001,,
21,K-3001 Halden,2007,Persons,27835,3001,,
22,K-3001 Halden,2008,Persons,28092,3001,,
23,K-3001 Halden,2009,Persons,28389,3001,,
24,K-3001 Halden,2010,Persons,28776,3001,,
25,K-3001 Halden,2011,Persons,29220,3001,,
26,K-3001 Halden,2012,Persons,29543,3001,,
27,K-3001 Halden,2013,Persons,29880,3001,,
28,K-3001 Halden,2014,Persons,30132,3001,,
29,K-3001 Halden,2015,Persons,30328,3001,,
30,K-3001 Halden,2016,Persons,30544,3001,,
31,K-3001 Halden,2017,Persons,30790,3001,,
32,K-3001 Halden,2018,Persons,31037,3001,,
33,K-3001 Halden,2019,Persons,31177,3001,,
34,K-3001 Halden,2020,Persons,31373,3001,498000.0,615000.0
35,K-3001 Halden,2021,Persons,31387,3001,,
36,K-3001 Halden,2022,Persons,31444,3001,,
56,K-3002 Moss,2005,Persons,41752,3002,,
57,K-3002 Moss,2006,Persons,42044,3002,,
58,K-3002 Moss,2007,Persons,42472,3002,,
59,K-3002 Moss,2008,Persons,42987,3002,,
60,K-3002 Moss,2009,Persons,43693,3002,,
61,K-3002 Moss,2010,Persons,44323,3002,,
62,K-3002 Moss,2011,Persons,44691,3002,,
63,K-3002 Moss,2012,Persons,45414,3002,,
64,K-3002 Moss,2013,Persons,45955,3002,,
65,K-3002 Moss,2014,Persons,46409,3002,,
66,K-3002 Moss,2015,Persons,47044,3002,,
67,K-3002 Moss,2016,Persons,47640,3002,,
68,K-3002 Moss,2017,Persons,48154,3002,,
69,K-3002 Moss,2018,Persons,48671,3002,,
70,K-3002 Moss,2019,Persons,48871,3002,,
71,K-3002 Moss,2020,Persons,49273,3002,516000.0,646000.0
72,K-3002 Moss,2021,Persons,49668,3002,,
73,K-3002 Moss,2022,Persons,50290,3002,,
93,K-3003 Sarpsborg,2005,Persons,49753,3003,,
94,K-3003 Sarpsborg,2006,Persons,50115,3003,,
95,K-3003 Sarpsborg,2007,Persons,50593,3003,,
96,K-3003 Sarpsborg,2008,Persons,51053,3003,,
97,K-3003 Sarpsborg,2009,Persons,51723,3003,,
98,K-3003 Sarpsborg,2010,Persons,52159,3003,,
99,K-3003 Sarpsborg,2011,Persons,52805,3003,,
100,K-3003 Sarpsborg,2012,Persons,53333,3003,,
101,K-3003 Sarpsborg,2013,Persons,53696,3003,,
102,K-3003 Sarpsborg,2014,Persons,54059,3003,,
103,K-3003 Sarpsborg,2015,Persons,54192,3003,,
104,K-3003 Sarpsborg,2016,Persons,54678,3003,,
105,K-3003 Sarpsborg,2017,Persons,55127,3003,,
106,K-3003 Sarpsborg,2018,Persons,55543,3003,,
107,K-3003 Sarpsborg,2019,Persons,55997,3003,,
108,K-3003 Sarpsborg,2020,Persons,56732,3003,512000.0,638000.0
109,K-3003 Sarpsborg,2021,Persons,57372,3003,,
110,K-3003 Sarpsborg,2022,Persons,58182,3003,,
130,K-3004 Fredrikstad,2005,Persons,70418,3004,,
131,K-3004 Fredrikstad,2006,Persons,70791,3004,,
132,K-3004 Fredrikstad,2007,Persons,71297,3004,,
133,K-3004 Fredrikstad,2008,Persons,71976,3004,,
134,K-3004 Fredrikstad,2009,Persons,72760,3004,,
135,K-3004 Fredrikstad,2010,Persons,73638,3004,,
136,K-3004 Fredrikstad,2011,Persons,74579,3004,,
137,K-3004 Fredrikstad,2012,Persons,75583,3004,,
138,K-3004 Fredrikstad,2013,Persons,76807,3004,,
139,K-3004 Fredrikstad,2014,Persons,77591,3004,,
140,K-3004 Fredrikstad,2015,Persons,78159,3004,,
141,K-3004 Fredrikstad,2016,Persons,78967,3004,,
142,K-3004 Fredrikstad,2017,Persons,80121,3004,,
143,K-3004 Fredrikstad,2018,Persons,80977,3004,,
144,K-3004 Fredrikstad,2019,Persons,81772,3004,,
145,K-3004 Fredrikstad,2020,Persons,82385,3004,519000.0,648000.0
146,K-3004 Fredrikstad,2021,Persons,83193,3004,,
147,K-3004 Fredrikstad,2022,Persons,83892,3004,,
167,K-3005 Drammen,2005,Persons,85111,3005,,
168,K-3005 Drammen,2006,Persons,85877,3005,,
169,K-3005 Drammen,2007,Persons,87073,3005,,
170,K-3005 Drammen,2008,Persons,88700,3005,,
171,K-3005 Drammen,2009,Persons,90196,3005,,
172,K-3005 Drammen,2010,Persons,91719,3005,,
173,K-3005 Drammen,2011,Persons,92993,3005,,
174,K-3005 Drammen,2012,Persons,94440,3005,,
175,K-3005 Drammen,2013,Persons,95683,3005,,
176,K-3005 Drammen,2014,Persons,96605,3005,,
177,K-3005 Drammen,2015,Persons,97771,3005,,
178,K-3005 Drammen,2016,Persons,98930,3005,,
179,K-3005 Drammen,2017,Persons,99734,3005,,
180,K-3005 Drammen,2018,Persons,100302,3005,,
181,K-3005 Drammen,2019,Persons,100581,3005,,
182,K-3005 Drammen,2020,Persons,101386,3005,532000.0,674000.0
183,K-3005 Drammen,2021,Persons,101859,3005,,
184,K-3005 Drammen,2022,Persons,102273,3005,,
204,K-3006 Kongsberg,2005,Persons,23244,3006,,
205,K-3006 Kongsberg,2006,Persons,23315,3006,,
206,K-3006 Kongsberg,2007,Persons,23644,3006,,
207,K-3006 Kongsberg,2008,Persons,23997,3006,,
208,K-3006 Kongsberg,2009,Persons,24381,3006,,
209,K-3006 Kongsberg,2010,Persons,24714,3006,,
210,K-3006 Kongsberg,2011,Persons,25090,3006,,
211,K-3006 Kongsberg,2012,Persons,25479,3006,,
212,K-3006 Kongsberg,2013,Persons,25887,3006,,
213,K-3006 Kongsberg,2014,Persons,26406,3006,,
214,K-3006 Kongsberg,2015,Persons,26711,3006,,
215,K-3006 Kongsberg,2016,Persons,27013,3006,,
216,K-3006 Kongsberg,2017,Persons,27216,3006,,
217,K-3006 Kongsberg,2018,Persons,27410,3006,,
218,K-3006 Kongsberg,2019,Persons,27481,3006,,
219,K-3006 Kongsberg,2020,Persons,27723,3006,567000.0,733000.0
220,K-3006 Kongsberg,2021,Persons,27694,3006,,
221,K-3006 Kongsberg,2022,Persons,27879,3006,,
241,K-3007 Ringerike,2005,Persons,28079,3007,,
242,K-3007 Ringerike,2006,Persons,28197,3007,,
243,K-3007 Ringerike,2007,Persons,28385,3007,,
244,K-3007 Ringerike,2008,Persons,28523,3007,,
245,K-3007 Ringerike,2009,Persons,28645,3007,,
246,K-3007 Ringerike,2010,Persons,28806,3007,,
247,K-3007 Ringerike,2011,Persons,28946,3007,,
248,K-3007 Ringerike,2012,Persons,29236,3007,,
249,K-3007 Ringerike,2013,Persons,29400,3007,,
250,K-3007 Ringerike,2014,Persons,29624,3007,,
251,K-3007 Ringerike,2015,Persons,29712,3007,,
252,K-3007 Ringerike,2016,Persons,29801,3007,,
253,K-3007 Ringerike,2017,Persons,30034,3007,,
254,K-3007 Ringerike,2018,Persons,30283,3007,,
255,K-3007 Ringerike,2019,Persons,30442,3007,,
256,K-3007 Ringerike,2020,Persons,30641,3007,509000.0,639000.0
257,K-3007 Ringerike,2021,Persons,30835,3007,,
258,K-3007 Ringerike,2022,Persons,31011,3007,,
278,K-3011 Hvaler,2005,Persons,3773,3011,,
