countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,type,cases,rgdpe_per_pers,cases_per_pers
AGO,Angola,Kwanza,2019,228151.0156,227855.7188,31.825295,16.64496231,,1.481984377,155943.7188,198750.4219,227771.6094,223289.3125,1371321.25,0.017415317,0.380316734,0.325579017,222151.0625,155270.7031,198864.7344,1367457.875,1.003396273,0.937804401,0.917950809,0.331142336,0.109524034,0.043387678,364.825805,0.381504148,0.373183519,0.380674779,Extrapolated,Extrapolated,Market-based,Regular,Regular,,48.8889,0.498669744,0.191709593,0.199723393,0.344350696,-0.113983102,-0.120470256,0.438168645,0.342871785,0.24002412,0.476485759,0.611626506,0.209101334,0.378033251,confirmed,97263.0,7168.8578409092515,0.0030561539178191434
ALB,Albania,Lek,2019,35890.01953,36103.04297,2.880917,1.075897694,,2.964992046,33399.16797,40868.31641,35808.34375,36288.32813,229818.3281,,,,37204.77344,33426.44141,40984.5625,227804.6406,,,,,,0.027731989,109.8508333,0.419904172,0.426662356,0.421018928,Extrapolated,Extrapolated,Market-based,Regular,,,78.8889,0.714311898,0.205827802,0.206071287,0.126593605,-0.313949287,0.061144684,0.473077238,0.456882417,0.235588595,0.62983191,0.525462806,0.299344361,,confirmed,248070.0,12457.845724121866,0.08610799964039227
ARE,United Arab Emirates,UAE Dirham,2019,681525.8125,645956.25,9.770529,5.808834076,,2.746694803,306771.1563,515623.3125,678241.1875,635332.8125,4510359.5,,,,647986.25,306717.0313,533594.3125,4506529.0,,,,,,0.036909029,3.6725,0.716486454,0.620932877,0.662868738,Extrapolated,Extrapolated,Market-based,Regular,,,,0.355746329,0.328728735,0.127104774,0.889651537,-0.701230943,-4.84921e-07,0.725060999,0.480579555,0.692487717,0.688881695,0.647336185,0.268753558,,confirmed,828328.0,69753.21525579628,0.08477821415810752
ARG,Argentina,Argentine Peso,2019,991646.3125,977420.5625,44.780677,20.64321518,1609.068998,3.09680438,826692.5625,930002.375,991465.4375,978558.8125,3374818.5,0.031311926,0.812184334,0.742373288,975569.0,822399.5625,921896.5,3399148.5,1.022263288,0.931500852,0.875392675,0.543917656,0.119155519,0.035492208,48.14789167,0.433223814,0.453534245,0.459516078,Extrapolated,Extrapolated,Market-based,Regular,Regular,,80.0,0.620382965,0.105573431,0.224423245,0.102728277,-0.079542153,0.026434273,0.476809144,0.616059721,0.312738955,0.647736371,0.631129622,0.377945632,0.758449674,confirmed,7940657.0,22144.513636986776,0.17732329057910404
ARM,Armenia,Armenian Dram,2019,41048.62891,43582.57422,2.957731,0.966090977,,3.135994673,42821.80469,46950.61328,41045.19141,43795.6875,98945.86719,0.001158021,0.820758283,0.846244395,43260.19531,43101.3125,47185.84766,98812.77344,1.059019089,1.136325955,1.167809367,0.548671961,0.093098164,0.032631971,480.4451288,0.309524953,0.333115786,0.312195152,Extrapolated,Extrapolated,Market-based,Regular,Regular,,93.33336667,0.757309675,0.09427435,0.220453396,0.089797787,-0.197262198,0.035426978,0.348212659,0.57778722,0.176623538,0.666217089,0.587047994,0.432371885,0.617076576,confirmed,352399.0,13878.418595200172,0.11914504733527154
ATG,Antigua and Barbuda,East Caribbean Dollar,2019,1986.163208,1603.854492,0.097118,,,,1787.816772,2415.362061,1979.578003,1631.650513,10975.73145,,,,1511.545044,1772.28833,2443.897217,10993.36328,,,,,,0.027289992,2.7,0.80029428,0.839554131,1.018577814,Extrapolated,Extrapolated,Market-based,Outlier,,,47.7778,0.808960915,0.384607643,0.286749691,0.029887568,-0.609531581,0.099325761,0.899943829,0.951401711,0.519169033,0.766929209,0.571458817,0.672265649,,confirmed,6023.0,20451.03078728969,0.06201733973104883
AUT,Austria,Euro,2019,498022.25,477705.5,8.955102,4.550281048,1611.374223,3.381046295,329967.7813,479295.4063,496070.75,478329.3438,2875459.75,0.036331538,0.803705812,0.774540484,476723.3125,329227.875,480350.9688,2878110.75,1.040850878,0.998128593,0.989646196,0.583859503,0.05260032,0.04276967,0.893276257,0.959664285,0.897201478,0.93047893,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.511577547,0.312185794,0.178256333,0.529936731,-0.577150583,0.045194253,0.940321863,0.759177923,1.015175104,0.676696837,0.639682829,0.689651549,0.59033078,confirmed,1625651.0,55613.24147954987,0.18153349900425478
AZE,Azerbaijan,Azerbaijanian Manat,2019,162126.1875,159346.0,10.047718,5.027178764,,,122913.8047,142133.1406,162095.7969,157517.125,273638.75,0.004605429,,,143939.8125,122699.9922,142034.2188,275832.3125,1.099258661,,,0.254187077,0.213515565,0.056179516,1.7,0.264033914,0.29641512,0.30503124,Extrapolated,Extrapolated,Market-based,Regular,Regular,,76.66666667,0.564358711,0.122014232,0.215961531,0.24050577,-0.141402602,-0.001437648,0.306550652,0.503503501,0.152927577,0.518311024,0.612807631,0.354582101,0.901026607,confirmed,634488.0,16135.622785193613,0.0631474728888689
BDI,Burundi,Burundi Franc,2019,8664.988281,9109.688477,11.53058,5.0035882,,1.416526079,9894.192383,10998.05371,8660.569336,9166.323242,18806.58398,0.000284004,0.196675405,0.226955757,9250.675781,9873.473633,11112.49902,18935.97461,1.116163969,0.93894887,0.995549262,0.606218219,0.080174774,0.041114029,1845.622891,0.324728936,0.346668929,0.327541411,Extrapolated,Extrapolated,Market-based,Regular,Regular,,67.7778,0.870565891,0.120425709,0.208840996,0.044958826,-0.252394021,0.007602562,0.329780936,0.54332298,0.303669333,0.650271893,0.475957841,0.354543835,0.482056648,confirmed,37042.0,751.4789612491305,0.0032125010190293983
BEL,Belgium,Euro,2019,589449.125,517419.75,11.539328,4.921936512,1586.430997,3.149034023,394579.1563,583349.9375,586966.375,523688.5938,3496175.0,0.042660255,0.828750432,0.887872159,534102.3125,393544.125,584597.75,3498440.75,1.042251348,0.994152188,0.997614443,0.594810963,0.058639355,0.042378787,0.893276257,1.005610228,0.90822494,1.01796639,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.552580118,0.360463798,0.200881287,1.248495698,-1.362420917,2.18375e-16,0.946841002,0.704664707,1.167271376,0.667259037,0.606859505,0.62665242,0.586335838,confirmed,2830719.0,51081.75493408282,0.24531055881243694
