date,DK1_wind,DK2_wind,DK1_price,DK2_price
2013-01-01,20882,11388,4077,4089.0
2013-02-01,9254,5969,3940,4020.0
2013-03-01,13550,6160,4033,4158.0
2013-04-01,4965,2115,4282,4355.0
2013-05-01,7106,991,3682,3740.0
2013-06-01,21455,3165,4774,3432.0
2013-07-01,9646,3122,3624,3644.0
2013-08-01,4885,1400,4017,4137.0
2013-09-01,43763,14120,4367,4630.0
2013-10-01,18021,3899,3587,4186.0
2013-11-01,32814,13379,3560,3988.0
2013-12-01,57088,17137,2880,3169.0
2014-01-01,38111,8029,3026,3105.0
2014-02-01,53189,12450,2874,3008.0
2014-03-01,3046,1392,2605,2679.0
2014-04-01,15699,5468,2813,2873.0
2014-05-01,26176,4714,3334,3529.0
2014-06-01,3264,878,3188,3273.0
2014-07-01,8325,3379,3102,3106.0
2014-08-01,10624,3239,3211,3453.0
2014-09-01,7769,6213,3658,3765.0
2014-10-01,7876,1437,3011,3219.0
2014-11-01,28291,4760,3078,3263.0
2014-12-01,43751,13289,2899,3299.0
2015-01-01,68676,16953,2575,2915.0
2015-02-01,21597,9929,2927,3095.0
2015-03-01,58242,15797,2650,2750.0
2015-04-01,65407,15612,2552,2645.0
2015-05-01,4056,894,2203,2348.0
2015-06-01,50928,8838,1913,2151.0
2015-07-01,8473,2508,1365,1379.0
2015-08-01,9336,1072,2191,2395.0
2015-09-01,25698,8119,2124,2528.0
2015-10-01,30869,3359,2625,2677.0
2015-11-01,4707,1413,2518,2603.0
2015-12-01,33186,13084,1892,1963.0
2016-01-01,13265,1542,2510,3084.0
2016-02-01,51331,13405,1840,1933.0
2016-03-01,41810,5188,2097,2198.0
2016-04-01,10867,2497,2199,2217.0
2016-05-01,2058,1513,2339,2447.0
2016-06-01,17562,9176,2850,3377.0
2016-07-01,27119,8347,2675,2904.0
2016-08-01,26381,4588,2735,3043.0
2016-09-01,18413,2021,2877,3118.0
2016-10-01,8033,2888,3320,3665.0
2016-11-01,52675,13769,3700,4107.0
2016-12-01,69339,18625,2840,3152.0
2017-01-01,27918,11704,3100,3355.0
2017-02-01,28102,4604,2986,3261.0
2017-03-01,56521,14523,2922,2976.0
2017-04-01,9367,1458,2734,2890.0
2017-05-01,51463,16579,2924,2961.0
2017-06-01,39756,11917,2813,2904.0
2017-07-01,24560,2240,3157,3194.0
2017-08-01,5499,781,3275,3430.0
2017-09-01,11368,1394,3377,3849.0
2017-10-01,27717,5190,2746,3169.0
2017-11-01,42822,14986,3301,3468.0
2017-12-01,11776,2439,2771,2918.0
2018-01-01,44385,16593,3076,3157.0
2018-02-01,52925,17639,3784,4008.0
2018-03-01,69019,10722,3796,4293.0
2018-04-01,22131,8159,3593,3615.0
2018-05-01,21123,15663,3495,3793.0
2018-06-01,11827,6732,4489,4869.0
2018-07-01,11245,1981,5214,5337.0
2018-08-01,2489,1775,5569,5684.0
2018-09-01,3017,1609,4989,5179.0
2018-10-01,32970,6256,4748,5090.0
2018-11-01,31766,4920,5404,5468.0
2018-12-01,30001,10309,4670,4911.0
